Name,Type,Mana Cost,Power,Toughness,Text
Woodcaller Automaton,Artifact Creature — Construct,{10},8,8,"Prototype {2}{G}{G} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
When Woodcaller Automaton enters the battlefield, if you cast it, untap target land you control. It becomes a Treefolk creature with haste and base power and toughness equal to Woodcaller Automaton's power and toughness. It's still a land."
"Teferi, Temporal Pilgrim",Legendary Planeswalker — Teferi,{3}{U}{U},,,"Whenever you draw a card, put a loyalty counter on Teferi, Temporal Pilgrim.
[0]: Draw a card.
[−2]: Create a 2/2 blue Spirit creature token with vigilance and ""Whenever you draw a card, put a +1/+1 counter on this creature.""
[−12]: Target opponent chooses a permanent they control and returns it to its owner's hand. Then they shuffle each nonland permanent they control into its owner's library."
"Saheeli, Filigree Master",Legendary Planeswalker — Saheeli,{2}{U}{R},,,"[+1]: Scry 1. You may tap an untapped artifact you control. If you do, draw a card.
[−2]: Create two 1/1 colorless Thopter artifact creature tokens with flying. They gain haste until end of turn.
[−4]: You get an emblem with ""Artifact creatures you control get +1/+1"" and ""Artifact spells you cast cost {1} less to cast."""
"Mishra, Tamer of Mak Fawa",Legendary Creature — Human Artificer,{3}{B}{R},4,4,"Permanents you control have ""Ward—Sacrifice a permanent.""
Each artifact card in your graveyard has unearth {1}{B}{R}. ({1}{B}{R}: Return the card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
"Urza, Prince of Kroog",Legendary Creature — Human Artificer,{2}{W}{U},2,3,"Artifact creatures you control get +2/+2.
{6}: Create a token that's a copy of target artifact you control, except it's a 1/1 Soldier creature in addition to its other types."
Battlefield Forge,Land,,,,"{T}: Add {C}.
{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you."
Brushland,Land,,,,"{T}: Add {C}.
{T}: Add {G} or {W}. Brushland deals 1 damage to you."
Llanowar Wastes,Land,,,,"{T}: Add {C}.
{T}: Add {B} or {G}. Llanowar Wastes deals 1 damage to you."
Underground River,Land,,,,"{T}: Add {C}.
{T}: Add {U} or {B}. Underground River deals 1 damage to you."
In the Trenches,Enchantment,{1}{W}{W},,,"Creatures you control get +1/+1.
{5}{W}: Exile target nonland permanent you don't control until In the Trenches leaves the battlefield. Activate only as a sorcery and only once."
Kayla's Command,Sorcery,{1}{W}{W},,,"Choose two —
• Create a 2/2 colorless Construct artifact creature token.
• Put a +1/+1 counter on a creature you control. It gains double strike until end of turn.
• Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
• You gain 2 life and scry 2."
Kayla's Reconstruction,Sorcery,{X}{W}{W}{W},,,Look at the top seven cards of your library. Put up to X artifact and/or creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
Loran of the Third Path,Legendary Creature — Human Artificer,{2}{W},2,1,"Vigilance
When Loran of the Third Path enters the battlefield, destroy up to one target artifact or enchantment.
{T}: You and target opponent each draw a card."
"Myrel, Shield of Argive",Legendary Creature — Human Soldier,{3}{W},3,4,"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantments.
Whenever Myrel, Shield of Argive attacks, create X 1/1 colorless Soldier artifact creature tokens, where X is the number of Soldiers you control."
Siege Veteran,Creature — Human Soldier,{2}{W},2,2,"At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.
Whenever another nontoken Soldier you control dies, create a 1/1 colorless Soldier artifact creature token."
Soul Partition,Instant,{1}{W},,,"Exile target nonland permanent. For as long as that card remains exiled, its owner may play it. A spell cast by an opponent this way costs {2} more to cast."
Tocasia's Welcome,Enchantment,{2}{W},,,"Whenever one or more creatures with mana value 3 or less enter the battlefield under your control, draw a card. This ability triggers only once each turn."
Autonomous Assembler,Artifact Creature — Assembly-Worker,{5},4,5,"Prototype {1}{W} — 2/2 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Vigilance
{1}, {T}: Put a +1/+1 counter on target Assembly-Worker you control."
Platoon Dispenser,Artifact Creature — Construct,{5},4,6,"At the beginning of your end step, if you control two or more other creatures, draw a card.
{3}{W}: Create a 1/1 colorless Soldier artifact creature token.
Unearth {2}{W}{W}"
Steel Seraph,Artifact Creature — Angel,{6},5,4,"Prototype {1}{W}{W} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Flying
At the beginning of combat on your turn, target creature you control gains your choice of flying, vigilance, or lifelink until end of turn."
Urza's Sylex,Legendary Artifact,{3},,,"{2}{W}{W}, {T}, Exile Urza's Sylex: Each player chooses six lands they control. Destroy all other permanents. Activate only as a sorcery.
When Urza's Sylex is put into exile from the battlefield, you may pay {2}. If you do, search your library for a planeswalker card, reveal it, put it into your hand, then shuffle."
"Drafna, Founder of Lat-Nam",Legendary Creature — Human Artificer Advisor,{1}{U},2,1,"{1}{U}: Return target artifact you control to its owner's hand.
{3}, {T}: Copy target artifact spell you control. (The copy becomes a token.)"
"Hurkyl, Master Wizard",Legendary Creature — Human Wizard Advisor,{1}{U}{U},2,4,"At the beginning of your end step, if you've cast a noncreature spell this turn, reveal the top five cards of your library. For each card type among noncreature spells you've cast this turn, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order."
Hurkyl's Final Meditation,Instant,{4}{U}{U}{U},,,"As long as it's not your turn, this spell costs {3} more to cast.
Return all nonland permanents to their owners' hands. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)"
One with the Multiverse,Enchantment,{6}{U}{U},,,"You may look at the top card of your library any time.
You may play lands and cast spells from the top of your library.
Once during each of your turns, you may cast a spell from your hand or the top of your library without paying its mana cost."
Skystrike Officer,Creature — Human Soldier,{2}{U},2,3,"Flying
Whenever Skystrike Officer attacks, create a 1/1 colorless Soldier artifact creature token.
Tap three untapped Soldiers you control: Draw a card."
Urza's Command,Instant,{2}{U}{U},,,"Choose two —
• Creatures you don't control get -2/-0 until end of turn.
• Create a tapped Powerstone token.
• Create a tapped 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control.""
• Scry 1, then draw a card."
Arcane Proxy,Artifact Creature — Wizard,{7},4,3,"Prototype {1}{U}{U} — 2/1 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
When Arcane Proxy enters the battlefield, if you cast it, exile target instant or sorcery card with mana value less than or equal to Arcane Proxy's power from your graveyard. Copy that card. You may cast the copy without paying its mana cost."
Surge Engine,Artifact Creature — Construct,{2},3,2,"Defender
{U}: Surge Engine loses defender and gains ""This creature can't be blocked.""
{2}{U}: Surge Engine becomes blue and has base power and toughness 5/4. Activate only if Surge Engine doesn't have defender.
{4}{U}{U}: Draw three cards. Activate only if Surge Engine is blue and only once."
The Temporal Anchor,Legendary Artifact,{3}{U}{U}{U},,,"At the beginning of your upkeep, scry 2.
Whenever you choose to put one or more cards on the bottom of your library while scrying, exile that many cards from the bottom of your library.
During your turn, you may play cards exiled with The Temporal Anchor."
Terisian Mindbreaker,Artifact Creature — Juggernaut,{7},6,4,"Whenever Terisian Mindbreaker attacks, defending player mills half their library, rounded up.
Unearth {1}{U}{U}{U} ({1}{U}{U}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
"Ashnod, Flesh Mechanist",Legendary Creature — Human Artificer,{B},1,1,"Deathtouch
Whenever Ashnod, Flesh Mechanist attacks, you may sacrifice another creature. If you do, create a tapped Powerstone token.
{5}, Exile a creature card from your graveyard: Create a tapped 3/3 colorless Zombie artifact creature token."
Diabolic Intent,Sorcery,{1}{B},,,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a card, put that card into your hand, then shuffle."
Fateful Handoff,Sorcery,{3}{B},,,Draw cards equal to the mana value of target artifact or creature you control. An opponent gains control of that permanent.
"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,{1}{B}{B},3,3,"Whenever a creature deals combat damage to one of your opponents, its controller may pay 1 life. If they do, they draw a card.
{4}{B}{B}{B}, Discard X cards: Exile the top X cards of target opponent's library. You may play lands and cast spells from among cards exiled this way without paying their mana costs."
Gix's Command,Sorcery,{3}{B}{B},,,"Choose two —
• Put two +1/+1 counters on up to one creature. It gains lifelink until end of turn.
• Destroy each creature with power 2 or less.
• Return up to two creature cards from your graveyard to your hand.
• Each opponent sacrifices a creature with the highest power among creatures they control."
Gixian Puppeteer,Creature — Phyrexian Warlock,{3}{B},4,3,"Whenever you draw your second card each turn, each opponent loses 2 life and you gain 2 life.
When Gixian Puppeteer dies, return another target creature card with mana value 3 or less from your graveyard to the battlefield."
Hostile Negotiations,Instant,{3}{B},,,"Exile the top three cards of your library in a face-down pile, then exile the top three cards of your library in another face-down pile. Look at the cards in each pile, then turn a pile of your choice face up. An opponent chooses one of those piles. Put all cards in the chosen pile into your hand and the rest into your graveyard. You lose 3 life."
Misery's Shadow,Creature — Shade,{1}{B},2,2,"If a creature an opponent controls would die, exile it instead.
{1}: Misery's Shadow gets +1/+1 until end of turn."
Painful Quandary,Enchantment,{3}{B}{B},,,"Whenever an opponent casts a spell, that player loses 5 life unless they discard a card."
Phyrexian Fleshgorger,Artifact Creature — Phyrexian Wurm,{7},7,5,"Prototype {1}{B}{B} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Menace, lifelink
Ward—Pay life equal to Phyrexian Fleshgorger's power."
Razorlash Transmogrant,Artifact Creature — Zombie,{2},3,1,"Razorlash Transmogrant can't block.
{4}{B}{B}: Return Razorlash Transmogrant from your graveyard to the battlefield with a +1/+1 counter on it. This ability costs {4} less to activate if an opponent controls four or more nonbasic lands."
Transmogrant's Crown,Artifact — Equipment,{2},,,"Equipped creature gets +2/+0.
Whenever equipped creature dies, draw a card.
Equip {2} or {B}"
Brotherhood's End,Sorcery,{1}{R}{R},,,"Choose one —
• Brotherhood's End deals 3 damage to each creature and each planeswalker.
• Destroy all artifacts with mana value 3 or less."
Draconic Destiny,Enchantment — Aura,{1}{R}{R},,,"Enchant creature
Enchanted creature gets +1/+1 and has flying, haste, and ""{1}: This creature gets +1/+0 until end of turn."" It's a Dragon in addition to its other types.
When enchanted creature dies, return Draconic Destiny to its owner's hand."
